Dataset,Model,NA_Acc,NA_CI,NA_F1,F1_CI,RT_MAE,MAE_CI
BPI2015_2,DATL-TAIA,48.5,3.2,0.445,0.032,53.85,2.18
BPI2015_2,no_datl,39.2,4.8,0.352,0.048,68.45,3.95
BPI2015_2,no_domain_prompt,42.8,4.2,0.385,0.042,58.22,2.65
BPI2015_2,no_faiss,45.6,3.6,0.418,0.036,61.85,2.88
BPI2015_2,no_taia,46.2,3.4,0.425,0.034,55.28,2.35
BPI2015_2,no_hard_negative,47.1,3.3,0.435,0.033,54.92,2.28
