Dataset,Model,NA_Acc,NA_CI,NA_F1,F1_CI,RT_MAE,MAE_CI
BPI2020_DD,DATL-TAIA,85.6,1.1,0.811,0.011,6.52,0.48
BPI2020_DD,no_datl,82.8,1.8,0.783,0.018,7.85,0.68
BPI2020_DD,no_domain_prompt,83.5,1.6,0.790,0.016,6.92,0.55
BPI2020_DD,no_faiss,85.2,1.2,0.807,0.012,6.68,0.52
BPI2020_DD,no_taia,85.1,1.3,0.806,0.013,6.72,0.50
BPI2020_DD,no_hard_negative,85.3,1.2,0.808,0.012,6.58,0.49
